frequency,L1,H1,H1_smoothed
84.5,7.82426761380309e-24,8.622669556395614e-24,8.505835813835265e-24
84.75,7.132776905513836e-24,7.848102057474616e-24,8.492685747436935e-24
85.0,7.289623707815477e-24,8.011345951586871e-24,8.479725582170216e-24
85.25,6.921425036572697e-24,8.14563743192778e-24,8.466952556591361e-24
85.5,5.611305235281596e-24,1.017788566427686e-23,8.454363954085482e-24
85.75,6.921476699560846e-24,1.4297923431128713e-23,8.441957102083118e-24
86.0,8.01686866282284e-24,1.0753921368413186e-23,8.429729371291484e-24
86.25,7.921389625033955e-24,7.547467297222557e-24,8.417678174940096e-24
86.5,9.583919150006497e-24,9.063847203972083e-24,8.405800968040498e-24
86.75,8.66674304573067e-24,1.1607877762294977e-23,8.394095246659763e-24
87.0,1.1306773951604323e-23,1.1088150903721273e-23,8.382558547207541e-24
87.25,1.060828450514324e-23,1.1249497132222533e-23,8.371188445736319e-24
87.5,8.055157062605084e-24,1.424147314926228e-23,8.359982557254658e-24
87.75,6.0888660338460995e-24,1.2172103287181683e-23,8.348938535053159e-24
88.0,5.7937912717208766e-24,8.532645443375055e-24,8.338054070042844e-24
88.25,7.536797363662396e-24,7.546015532014135e-24,8.327326890105768e-24
88.5,7.357054698672776e-24,6.812216280136065e-24,8.316754759457575e-24
88.75,7.963453610245032e-24,8.684097433196562e-24,8.306335478021771e-24
89.0,5.605358761426624e-24,7.03926017675551e-24,8.296066880815478e-24
89.25,7.79293217706102e-24,7.075983725017293e-24,8.285946837346458e-24
89.5,1.0222471786166652e-23,9.879250572283577e-24,8.275973251021149e-24
89.75,7.514084969980327e-24,9.39808369761016e-24,8.266144058563528e-24
90.0,6.658408333251662e-24,7.838976808258631e-24,8.256457229444577e-24
90.25,7.510581416580903e-24,7.944140710843856e-24,8.246910765322129e-24
90.5,7.744292747782962e-24,6.804903551006806e-24,8.237502699490918e-24
